┏━━━━━━━━━━━━━┓
┃ LoCO@vegeta ┃
┗━━━━━━━━━━━━━┛

HMAP_H: 136
HMAP_W: 240
HMAP_D: 316
Q: 0.31746031746031744
LR: 0.0001
HALF_IMAGES: False
DATA_AUGMENTATION: no
EPOCHS: 999
DET_TH: 0.4
NMS_TH: 0.1
N_WORKERS: 2
BATCH_SIZE: 1
EPOCH_LEN: 4096
TEST_SET_LEN: 128
MOT_SYNTH_ANN_PATH: /nas/softechict-nas-3/matteo/Datasets/MOTSynth_clean_2/
MOT_SYNTH_PATH: /nas/softechict-nas-3/matteo/Datasets/MOTSynth/
DEVICE: cuda

▶ Starting Experiment 'fix_metrics' [seed: 4832]
Annotation path to load: /nas/softechict-nas-3/matteo/Datasets/MOTSynth_clean_2/annotation_groups/MOTSynth_annotations_10_train.json
loading annotations into memory...
Done (t=306.60s)
creating index...
index created!
Annotation path to load: /nas/softechict-nas-3/matteo/Datasets/MOTSynth_clean_2/annotation_groups/MOTSynth_annotations_10_test.json
loading annotations into memory...
Done (t=94.63s)
creating index...
index created!
tensorboard --logdir=/nas/softechict-nas-3/matteo/PycharmProjects/gianlu/LoCO/log

[loading checkpoint 'log/fix_metrics/training.ck']

[06-24@15:06] Epoch 259.0001: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.02% │ Loss: 0.002182 │ ↯:  0.19 step/s
[06-24@15:06] Epoch 259.0002: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.05% │ Loss: 0.001698 │ ↯:  0.35 step/s
[06-24@15:06] Epoch 259.0003: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.07% │ Loss: 0.001399 │ ↯:  0.49 step/s
[06-24@15:06] Epoch 259.0004: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.10% │ Loss: 0.001275 │ ↯:  0.61 step/s
[06-24@15:06] Epoch 259.0005: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.12% │ Loss: 0.001382 │ ↯:  0.72 step/s
[06-24@15:06] Epoch 259.0006: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.15% │ Loss: 0.001479 │ ↯:  0.82 step/s
[06-24@15:06] Epoch 259.0007: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.17% │ Loss: 0.001311 │ ↯:  0.91 step/s
[06-24@15:06] Epoch 259.0008: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.20% │ Loss: 0.001316 │ ↯:  0.99 step/s
[06-24@15:06] Epoch 259.0009: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.22% │ Loss: 0.001315 │ ↯:  1.06 step/s
[06-24@15:06] Epoch 259.0010: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.24% │ Loss: 0.001210 │ ↯:  1.12 step/s
[06-24@15:06] Epoch 259.0011: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.27% │ Loss: 0.001161 │ ↯:  1.18 step/s
[06-24@15:06] Epoch 259.0012: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.29% │ Loss: 0.001222 │ ↯:  1.23 step/s
[06-24@15:06] Epoch 259.0013: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.32% │ Loss: 0.001255 │ ↯:  1.28 step/s
[06-24@15:06] Epoch 259.0014: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.34% │ Loss: 0.001381 │ ↯:  1.33 step/s
[06-24@15:06] Epoch 259.0015: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.37% │ Loss: 0.001381 │ ↯:  1.37 step/s
[06-24@15:06] Epoch 259.0016: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.39% │ Loss: 0.001382 │ ↯:  1.41 step/s
[06-24@15:06] Epoch 259.0017: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.42% │ Loss: 0.001378 │ ↯:  1.45 step/s
[06-24@15:06] Epoch 259.0018: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.44% │ Loss: 0.001488 │ ↯:  1.48 step/s
[06-24@15:06] Epoch 259.0019: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.46% │ Loss: 0.001489 │ ↯:  1.52 step/s
[06-24@15:06] Epoch 259.0020: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.49% │ Loss: 0.001421 │ ↯:  1.55 step/s
[06-24@15:06] Epoch 259.0021: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.51% │ Loss: 0.001378 │ ↯:  1.57 step/s
[06-24@15:06] Epoch 259.0022: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.54% │ Loss: 0.001374 │ ↯:  1.60 step/s
[06-24@15:06] Epoch 259.0023: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.56% │ Loss: 0.001356 │ ↯:  1.62 step/s
[06-24@15:06] Epoch 259.0024: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.59% │ Loss: 0.001435 │ ↯:  1.65 step/s
[06-24@15:06] Epoch 259.0025: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.61% │ Loss: 0.001390 │ ↯:  1.67 step/s
[06-24@15:06] Epoch 259.0026: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.63% │ Loss: 0.001382 │ ↯:  1.69 step/s
[06-24@15:06] Epoch 259.0027: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.66% │ Loss: 0.001424 │ ↯:  1.71 step/s
[06-24@15:06] Epoch 259.0028: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.68% │ Loss: 0.001422 │ ↯:  1.73 step/s
[06-24@15:06] Epoch 259.0029: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.71% │ Loss: 0.001402 │ ↯:  1.74 step/s
[06-24@15:06] Epoch 259.0030: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.73% │ Loss: 0.001418 │ ↯:  1.76 step/s
[06-24@15:06] Epoch 259.0031: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.76% │ Loss: 0.001435 │ ↯:  1.78 step/s
[06-24@15:06] Epoch 259.0032: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.78% │ Loss: 0.001429 │ ↯:  1.79 step/s
[06-24@15:06] Epoch 259.0033: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.81% │ Loss: 0.001439 │ ↯:  1.81 step/s
[06-24@15:06] Epoch 259.0034: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.83% │ Loss: 0.001424 │ ↯:  1.82 step/s
[06-24@15:06] Epoch 259.0035: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.85% │ Loss: 0.001436 │ ↯:  1.84 step/s
[06-24@15:06] Epoch 259.0036: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.88% │ Loss: 0.001444 │ ↯:  1.85 step/s
[06-24@15:06] Epoch 259.0037: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.90% │ Loss: 0.001467 │ ↯:  1.86 step/s
[06-24@15:06] Epoch 259.0038: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.93% │ Loss: 0.001454 │ ↯:  1.88 step/s
[06-24@15:06] Epoch 259.0039: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.95% │ Loss: 0.001463 │ ↯:  1.89 step/s
[06-24@15:06] Epoch 259.0040: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   0.98% │ Loss: 0.001452 │ ↯:  1.90 step/s
[06-24@15:06] Epoch 259.0041: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.00% │ Loss: 0.001431 │ ↯:  1.91 step/s
[06-24@15:06] Epoch 259.0042: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.03% │ Loss: 0.001441 │ ↯:  1.91 step/s
[06-24@15:06] Epoch 259.0043: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.05% │ Loss: 0.001447 │ ↯:  1.92 step/s
[06-24@15:06] Epoch 259.0044: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.07% │ Loss: 0.001441 │ ↯:  1.93 step/s
[06-24@15:06] Epoch 259.0045: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.10% │ Loss: 0.001433 │ ↯:  1.94 step/s
[06-24@15:06] Epoch 259.0046: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.12% │ Loss: 0.001438 │ ↯:  1.95 step/s
[06-24@15:06] Epoch 259.0047: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.15% │ Loss: 0.001433 │ ↯:  1.96 step/s
[06-24@15:06] Epoch 259.0048: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.17% │ Loss: 0.001431 │ ↯:  1.96 step/s
[06-24@15:06] Epoch 259.0049: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.20% │ Loss: 0.001420 │ ↯:  1.97 step/s
[06-24@15:06] Epoch 259.0050: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.22% │ Loss: 0.001415 │ ↯:  1.97 step/s
[06-24@15:06] Epoch 259.0051: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.25% │ Loss: 0.001403 │ ↯:  1.98 step/s
[06-24@15:06] Epoch 259.0052: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.27% │ Loss: 0.001407 │ ↯:  1.99 step/s
[06-24@15:06] Epoch 259.0053: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.29% │ Loss: 0.001396 │ ↯:  1.99 step/s
[06-24@15:06] Epoch 259.0054: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.32% │ Loss: 0.001418 │ ↯:  1.99 step/s
[06-24@15:06] Epoch 259.0055: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.34% │ Loss: 0.001405 │ ↯:  2.00 step/s
[06-24@15:06] Epoch 259.0056: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.37% │ Loss: 0.001390 │ ↯:  2.01 step/s
[06-24@15:06] Epoch 259.0057: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.39% │ Loss: 0.001373 │ ↯:  2.01 step/s
[06-24@15:06] Epoch 259.0058: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.42% │ Loss: 0.001387 │ ↯:  2.02 step/s
[06-24@15:06] Epoch 259.0059: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.44% │ Loss: 0.001373 │ ↯:  2.02 step/s
[06-24@15:07] Epoch 259.0060: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.46% │ Loss: 0.001365 │ ↯:  2.03 step/s
[06-24@15:07] Epoch 259.0061: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.49% │ Loss: 0.001359 │ ↯:  2.03 step/s
[06-24@15:07] Epoch 259.0062: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.51% │ Loss: 0.001356 │ ↯:  2.03 step/s
[06-24@15:07] Epoch 259.0063: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.54% │ Loss: 0.001345 │ ↯:  2.04 step/s
[06-24@15:07] Epoch 259.0064: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.56% │ Loss: 0.001340 │ ↯:  2.04 step/s
[06-24@15:07] Epoch 259.0065: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.59% │ Loss: 0.001345 │ ↯:  2.05 step/s
[06-24@15:07] Epoch 259.0066: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.61% │ Loss: 0.001325 │ ↯:  2.05 step/s
[06-24@15:07] Epoch 259.0067: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.64% │ Loss: 0.001320 │ ↯:  2.06 step/s
[06-24@15:07] Epoch 259.0068: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.66% │ Loss: 0.001324 │ ↯:  2.06 step/s
[06-24@15:07] Epoch 259.0069: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.68% │ Loss: 0.001326 │ ↯:  2.06 step/s
[06-24@15:07] Epoch 259.0070: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.71% │ Loss: 0.001346 │ ↯:  2.07 step/s
[06-24@15:07] Epoch 259.0071: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.73% │ Loss: 0.001341 │ ↯:  2.07 step/s
[06-24@15:07] Epoch 259.0072: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.76% │ Loss: 0.001340 │ ↯:  2.07 step/s
[06-24@15:07] Epoch 259.0073: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.78% │ Loss: 0.001339 │ ↯:  2.08 step/s
[06-24@15:07] Epoch 259.0074: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.81% │ Loss: 0.001322 │ ↯:  2.08 step/s
[06-24@15:07] Epoch 259.0075: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.83% │ Loss: 0.001313 │ ↯:  2.09 step/s
[06-24@15:07] Epoch 259.0076: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.86% │ Loss: 0.001309 │ ↯:  2.09 step/s
[06-24@15:07] Epoch 259.0077: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.88% │ Loss: 0.001308 │ ↯:  2.09 step/s
[06-24@15:07] Epoch 259.0078: │┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈│   1.90% │ Loss: 0.001310 │ ↯:  2.10 step/s
